,codBacia,nmBacia,codSubBacia,nmSubBacia
1,1,RIO AMAZONAS,10,"RIO SOLIMÕES, JAVARI,ITACUAI"
2,1,RIO AMAZONAS,11,"RIO SOLIMÕES,IÇÁ,JANDIATUBA,.."
3,1,RIO AMAZONAS,12,"RIO SOLIMÕES,JURUÁ,JAPURÁ,...."
4,1,RIO AMAZONAS,13,"RIO SOLIMÕES,PURUS,COARI,.."
5,1,RIO AMAZONAS,14,"RIO SOLIMÕES,NEGRO,BRANCO,...."
6,1,RIO AMAZONAS,15,"RIO AMAZONAS,MADEIRA,GUAPORÉ,..."
7,1,RIO AMAZONAS,16,"RIO AMAZONAS,TROMBETAS,OUTROS"
8,1,RIO AMAZONAS,17,"RIO AMAZONAS,TAPAJÓS,JURUENA.."
9,1,RIO AMAZONAS,18,"RIO AMAZONAS,,XINGÚ,IRIRI,PARU"
10,1,RIO AMAZONAS,19,"RIO AMAZONAS,JARI,PARÁ,OUTROS"
11,2,RIO TOCANTINS,20,"RIO TOCANTINS,MARANHÃO,PALMAS.."
12,2,RIO TOCANTINS,21,"RIO TOCANTINS,PARANÃ,PALMA...."
13,2,RIO TOCANTINS,22,"RIO TOCANTINS,MANUEL  ALVES,SONO..."
14,2,RIO TOCANTINS,23,"RIO TOCANTINS,MANUEL ALVES GRANDE"
15,2,RIO TOCANTINS,24,"RIO ARAGUAIA,CAIAPÓ,CLARO....."
16,2,RIO TOCANTINS,25,"RIO ARAGUAIA,CRIXÁS-AÇU,PEIXE"
17,2,RIO TOCANTINS,26,"RIO ARAGUAIA,MORTES,JAVAÉS...."
18,2,RIO TOCANTINS,27,"RIO ARAGUAIA,COCO,PAU DARCO.."
19,2,RIO TOCANTINS,28,"RIO ARAGUAIA,MURICIZAL,LONTRA"
20,2,RIO TOCANTINS,29,"RIO TOCANTINS,ITACAIÚNAS,....."
21,3,"ATLÂNTICO,TRECHO NORTE/NORDESTE",30,"RIOS OIAPOQUE,ARAGUARI E ....."
22,3,"ATLÂNTICO,TRECHO NORTE/NORDESTE",31,"RIOS MERUU,ACARÁ,GUAMÁ, OUTROS"
23,3,"ATLÂNTICO,TRECHO NORTE/NORDESTE",32,"RIOS GURUPI,TURIAÇU E OUTROS"
24,3,"ATLÂNTICO,TRECHO NORTE/NORDESTE",33,"RIOS MEARIM,ITAPECURU E OUTROS"
25,3,"ATLÂNTICO,TRECHO NORTE/NORDESTE",34,RIO PARNAÍBA
26,3,"ATLÂNTICO,TRECHO NORTE/NORDESTE",35,"RIOS ACARAÚ,PIRANGI E OUTROS"
27,3,"ATLÂNTICO,TRECHO NORTE/NORDESTE",36,RIO JAGUARIBE
28,3,"ATLÂNTICO,TRECHO NORTE/NORDESTE",37,"RIOS APODI,PIRANHAS E OUTROS"
29,3,"ATLÂNTICO,TRECHO NORTE/NORDESTE",38,"RIOS PARAÍBA,POTENJI E OUTROS"
30,3,"ATLÂNTICO,TRECHO NORTE/NORDESTE",39,"RIOS CAPIBARIBE,MUNDAÚ E ....."
31,4,RIO SÃO FRANCISCO,40,"RIOS SÃO FRANCISCO,PARAOPEBA E"
32,4,RIO SÃO FRANCISCO,41,"RIOS SÃO FRANCISCO,DAS VELHAS"
33,4,RIO SÃO FRANCISCO,42,"RIOS SÃO FRANCISCO,PARACATU E"
34,4,RIO SÃO FRANCISCO,43,"RIOS SÃO FRANCISCO,URUCUIA E ."
35,4,RIO SÃO FRANCISCO,44,"RIOS SÃO FRANCISCO,VERDE GRANDE"
36,4,RIO SÃO FRANCISCO,45,"RIOS SÃO FRANCISCO,CARINHANHA"
37,4,RIO SÃO FRANCISCO,46,"RIOS SÃO FRANCISCO,GRANDE E .."
38,4,RIO SÃO FRANCISCO,47,"RIOS SÃO FRANCISCO,JACARÉ E .."
